Node,x,y,,
N0,19,208,,
N1,63,154,,
N2,63,257,,
N3,99,197,,
N4,151,212,,
N5,150,271,,
N6,217,198,,
N7,274,175,,
N8,325,133,,
N9,323,296,,
N10,363,88,,
N11,435,122,,
N12,439,194,,
N13,395,257,,
Link,NodeA,NodeB,Length,Cost
N0-N1,N0,N1,260,1
N0-N2,N0,N2,240,1
N0-N3,N0,N3,320,1
N1-N2,N1,N2,380,1
N1-N7,N1,N7,820,1
N2-N5,N2,N5,400,1
N3-N4,N3,N4,240,1
N3-N10,N3,N10,1060,1
N4-N5,N4,N5,260,1
N4-N6,N4,N6,280,1
N5-N9,N5,N9,660,1
N5-N13,N5,N13,940,1
N6-N7,N6,N7,200,1
N7-N8,N7,N8,240,1
N8-N9,N8,N9,700,1
N8-N11,N8,N11,480,1
N8-N12,N8,N12,600,1
N10-N11,N10,N11,380,1
N10-N12,N10,N12,620,1
N11-N13,N11,N13,600,1
N12-N13,N12,N13,320,1
