Node,x,y,,
N0,19,208,,
N1,63,154,,
N2,63,257,,
N3,99,197,,
N4,151,212,,
N5,150,271,,
N6,217,198,,
N7,274,175,,
N8,325,133,,
N9,323,296,,
Link,NodeA,NodeB,Length,Cost
N0-N1,N0,N1,446,1
N0-N2,N0,N2,398,1
N0-N3,N0,N3,480,1
N1-N3,N1,N3,402,1
N1-N4,N1,N4,480,1
N1-N5,N1,N5,394,1
N2-N3,N2,N3,436,1
N2-N6,N2,N6,398,1
N2-N8,N2,N8,414,1
N3-N4,N3,N4,400,1
N3-N6,N3,N6,362,1
N3-N7,N3,N7,366,1
N4-N5,N4,N5,408,1
N4-N6,N4,N6,392,1
N4-N7,N4,N7,424,1
N5-N7,N5,N7,376,1
N5-N9,N5,N9,390,1
N6-N7,N6,N7,398,1
N6-N8,N6,N8,480,1
N7-N8,N7,N8,472,1
N7_N9,N7,N9,444,1
N8-N9,N8,N9,398,1
